date moon_altitude_error moon_altitude_percent_error moon_azimuth_error moon_azimuth_percent_error sun_azimuth_error sun_azimuth_percent_error daz_error daz_percent_error elongation_error elongation_percent_error
2025-01-29 0.19836682069441958 -9.023372206452766 0.03344625478865737 0.013542827675023137 0.21531586723818918 0.08585686481723265 0.18186961244953181 4.7633159161494945 0.16573891465144408 4.322577700427447
2025-01-30 0.16960894350537714 1.5660463469937986 0.1445814289663474 0.05880750150095809 0.09010287168811715 0.03588467671868431 0.23468430065446455 4.483256050897343 0.28786103074936165 2.09931529570177
2025-02-28 0.3586774204127483 6.6933945127288785 0.37640104707816135 0.14442324048566038 0.11789771136824356 0.04501938480633676 0.2585033357099178 20.540536395487333 0.3556461813291669 4.835009359638633
2025-03-01 0.2315758158027279 1.2041437374697104 0.2086026235460281 0.07968276484122172 0.3016398282106252 0.11499730936039071 0.4897575482433467 95.985260841629 0.07758392332023334 0.3680873652430082
2025-03-29 0.20684938418756685 -100.0 0.43317657714084135 0.1571947492663618 0.39271390453399135 0.14312111241795705 0.1741095183251673 -14.829069657277746 0.062041622516786354 3.0087473424063385
2025-03-30 0.0006250673033338927 0.004464567119889935 0.08107232904512784 0.0292765574845288 0.17862342315601154 0.0649961896636035 0.0975510941108837 -4.6507136052499325 0.009604782877612905 0.05999387872388511
2025-04-28 0.4756196599872702 4.993707128527318 0.030656239328379797 0.01060657015669482 0.2678993615716081 0.09358344479736337 0.2372431222432283 -8.587187825077773 0.2611040012674515 2.224263689665902
2025-04-29 0.2773647765969116 1.1691988431507938 0.3535659265266986 0.12261541673349315 0.3868209155059503 0.13496271062675552 0.25961315796735107 -14.916980047041797 0.4119904727487942 1.610091915551402
2025-05-27 0.14654922564022854 2.503638132264938 0.08009277871337872 0.026974539855856707 0.15111245630356507 0.05137238987189381 0.2312052350169438 -8.350392666910386 0.2175503275207742 2.64738661584089
2025-05-28 0.1969160208594971 1.0257690383472369 0.0842775192550107 0.028771934309723076 0.3312928466084486 0.11255780634276721 0.4155703658634593 29.357097032048472 0.06929548873974767 0.32889324076726667
2025-06-25 0.4255137261664794 17.543241317335408 0.48833651701698955 0.1630442405274594 0.3675908042426954 0.12403205196802279 0.14407267874031504 -4.582358407759147 0.3232630841120443 6.072649031321861
2025-06-26 0.14202172596509044 1.0248372681546944 0.3313861368720836 0.11335975286516986 0.32884997127041515 0.11097467266595802 0.002536165601668472 0.0634443663966305 0.18377084464392368 1.13552549902017
2025-07-25 0.1220888396112656 1.5497615690964601 0.18872377281564923 0.06557205655371189 0.028426266046949422 0.009734075004414883 0.21715003886259865 5.1492130197285055 0.4183357017666669 3.9534017520902673
2025-07-26 0.4361987438085819 2.6334458924127353 0.3567917742693112 0.12817785835046122 0.21986477066133148 0.07535289216605447 0.42334345506935733 3.153785466984239 0.3777671662278834 1.669893369959154
2025-08-23 0.19620402959051986 10.877285059350672 0.17876669016339974 0.0636585375174114 0.19787522707628113 0.06996949801390823 0.01910853691288139 0.9646433067615784 0.13158891873820266 3.18494703433347
2025-08-24 0.0672204109381429 0.7413563130885436 0.01749026502665174 0.006454388899031746 0.42285802869122335 0.14972514322770056 0.4403482937178751 3.849081185401315 0.2577224832260967 1.6371359414257887
2025-09-22 0.3752825940195015 15.799492446262601 0.1262622270845668 0.047985414308663474 0.49486154899108215 0.18294674662478 0.36859932190651534 5.002298344689283 0.4671593499425075 5.517309060041247
2025-09-23 0.07980965623013603 0.8947079956189226 0.45673906525343 0.18014245914861018 0.06617155592442714 0.02450197873476521 0.47708937882214286 2.887441503258177 0.37536576380323794 1.91272743881714
2025-10-21 0.02632181052846949 -0.6537433361546094 0.1445014651506824 0.05647776419821608 0.39135652837831003 0.15145883114527808 0.46414200647100756 18.303154500583474 0.38330058992738936 11.329191117943664
2025-10-22 0.020037937516718785 0.6634995298501231 0.10580764200955173 0.042818759712373415 0.0014620097973079282 0.0005666672529368884 0.1043456322122438 0.9576811882059548 0.09626875548789826 0.8087275620598408
2025-10-23 0.0198644605202567 0.19825079070206592 0.3313914643743203 0.13904650257700382 0.38537258403556507 0.14959266401178098 0.2832359515901146 1.468819612544121 0.48893484790624697 2.17197562444428
2025-11-20 0.2559951931660609 -9.32925454534574 0.05285535079403303 0.0217464430597813 0.5122528751418827 0.20612781430911978 0.45939752434784964 8.41480259129375 0.45673038668909616 8.239368072452436
2025-11-21 0.40086833117789133 7.1594731984972615 0.15332207264958697 0.06500921445958034 0.26677587637163924 0.10745532720998661 0.4200979490212262 3.3824044765631847 0.43011413718639346 2.9806703751427
2025-11-22 0.001810748909422344 0.012935593861050787 0.5076260037933764 0.22214838632341727 0.02804710450135417 0.011308037469462927 0.47957889929202224 2.456806115082367 0.07264990043319841 0.2914465442295888
2025-12-20 0.3992141593672983 66.44866312875757 0.009990082790210408 0.0041973375935755565 0.46938194314131465 0.1920002985283791 0.45939186035110424 7.11199862592225 0.1085456603479189 1.5750762465822112
2025-12-21 0.27175698386385605 2.533098695239394 0.264921062598944 0.11357089672640912 0.46419099937210717 0.1898809790810219 0.19926993677316318 1.7793118470950855 0.252714025212331 1.5089849519067227
2026-01-19 0.4393363834702262 7.900790512920857 0.32772948375202304 0.13468645125129763 0.01323925438077822 0.00533812405361113 0.3144902293712448 6.711974678670725 0.26576468846576695 3.0427928603526873
2026-01-20 0.21006180262697782 1.2205755274795909 0.3803095823714102 0.157400078492801 0.2535799508951868 0.10214553640891914 0.366110466733403 5.518790520967966 0.08563378402365274 0.42634344997252144
2026-02-17 0.1816928425729043 -15.375640439465114 0.42136604720656123 0.1643256385776327 0.33360611275344354 0.12963954370082176 0.0877599344531177 9.6202674896225 0.12617526370281307 11.20387454506455
2026-02-18 0.19449392699601553 1.7374070526492031 0.04212095973400665 0.016386792785842656 0.2762808026121206 0.10720037855752038 0.31840176234612727 46.713994367429265 0.041951186511385075 0.32166342222452887
2026-03-19 0.11735346756493659 2.4034807104173135 0.1703069523952081 0.06257367098645193 0.04507856527675358 0.016698552868447653 0.21538551767196168 -9.722258990764713 0.1007268507847554 1.418542818241534
2026-03-20 0.15418689876679537 0.8493186702692215 0.4623711380382929 0.16903383273517528 0.3907694660401262 0.1445202685031765 0.14685939592158093 -4.666855980661699 0.21827102171961954 1.0795731320701971
2026-04-17 0.40420963458600256 -100.0 0.015198319147089023 0.0053143800152183306 0.1192697804625027 0.04227636791890011 0.13446809960959172 -3.478644157509366 0.13771470612097048 3.328279398220652
2026-04-18 0.5293993198369478 3.9300349880948278 0.05925074280605713 0.02071275186948213 0.5065688271589011 0.17931222953928067 0.4473180843528439 -12.59099730777222 0.26734477091300235 1.6992984783568348
2026-05-17 0.2463267944553582 2.525477215243684 0.3560727729172868 0.12096668146268591 0.07659472263111411 0.02623795188958494 0.4326674955484009 -17.78572272372406 0.11168185480666892 0.9394251856544062
2026-06-15 0.17798977409386563 2.881030571468883 0.3987854443745391 0.13409114760797433 0.31702008362793777 0.1069867952703044 0.08176536074660135 -7.558511643427868 0.14461028609276738 1.775533524786262
2026-06-16 0.3051455718187519 1.632243636830706 0.3434732393182003 0.11829893590722786 0.35783729410792375 0.1207450079185195 0.014364054789723468 0.23882915398651686 0.36751741483033484 1.7199818195784213
2026-07-14 0.09196485314349179 4.396099341979898 0.1752583412119293 0.05937433313239858 0.38962266212035956 0.13234931944851228 0.21436432090843027 -27.285461520319398 0.05980018091244865 1.4729833550332134
2026-07-15 0.5030060737554773 4.02501654977307 0.42618446188510006 0.1492379338357855 0.2129393286704726 0.07237592240380507 0.36087620944442733 4.177231605813346 0.2817465445508347 1.6852630288303347
